id,name,rank,rankPoints,wins,games,winRatio,averageDamage,kills,killDeathRatio,averageRank,grade,grade2
account.ee3ad0d05f80400f89aaefb2e365213a,Zuich35,942,6088,10,707,0.014144272,174,902,1.2941177,36.12164,10,4
account.eef0a4b116314679bd46d390687b0a14,TheBioHaZarD0-0,943,6088,5,854,0.005854801,198,1331,1.5677267,45.6815,10,4
account.2a9042598e9e4435a38d046703ebae15,JCS--666,944,6088,5,889,0.005624297,77,533,0.60294116,36.350956,10,4
account.2950205afc90492a83c16627344ddbcd,isasun,945,6088,7,980,0.007142857,103,717,0.7368962,45.07347,10,4
account.f35a981468ab4360aa52437e96576d12,Substantive,946,6088,17,1194,0.014237856,129,1304,1.1079015,34.376884,10,4
account.fd4e6e17777447238740582774307520,LYByismi,947,6088,14,1433,0.0097697135,261,3085,2.1740663,63.07048,10,4
account.8632d786962049969a95a2b8a5bfe8be,lengxs2011,948,6088,4,794,0.005037783,54,287,0.36329114,28.375315,10,4
account.9ba19287a5084f68a4b69a75f0a51467,HeDyKo_PL,949,6088,46,397,0.115869015,338,1138,3.2421653,19.992443,10,4
account.cbb29af14a444d76b1ec1c24452458f7,Thefates-,950,6087,21,921,0.022801302,185,1386,1.54,47.59935,10,4
account.6751bf8fd69e494e8c54f5207c94c220,perth-kyle,951,6087,15,472,0.03177966,163,556,1.2166302,20.904661,10,4
account.0dd9b1e1bbf7407f87bf7eedc4d637d3,qishantianyuan,952,6087,7,560,0.0125,116,527,0.95298374,25.6375,10,4
account.505eb5fa729b481ba711c35e52a11dd3,bimaooooooooooo,953,6087,7,1288,0.0054347827,116,1206,0.94145197,36.86646,10,4
account.baf9b8077d3b4dd1b5f2b32d576fdd75,Dark-Sky,954,6087,16,764,0.020942409,288,1632,2.1789052,43.19241,10,4
account.1fe48f1fbc6944f4a932a25a0ef40aa0,QINGGECHIJI2018,955,6087,16,788,0.020304568,122,750,0.9715026,41.51142,10,4
account.b057d080f89b45e8837928c26d427fd6,qag_861018,956,6087,7,902,0.007760532,117,838,0.93631285,31.503326,10,4
account.994bc74dcf944cc88602bdd4f1a37e4b,nepexBaT4uk,957,6087,30,391,0.07672634,266,809,2.2348065,18.496164,10,4
account.3b957e6e86eb4bfab16d511adbbfddd3,WWTao0507,958,6087,13,637,0.020408163,163,830,1.3301282,31.689167,10,4
account.b4f75a8c4daa4c2da9ce430b997415e6,huya_weisuodashu,959,6087,7,1241,0.0056406124,188,1932,1.5656402,54.54714,10,4
account.a046b6a945834402a81e665883a466cd,JXG_R-D-LUFFY,960,6086,6,506,0.011857707,116,491,0.982,20.8083,10,4
account.74835d101d234ffbbd029ab93b3a9031,LonelyWolf-1,961,6086,11,721,0.015256588,116,668,0.9408451,32.57836,10,4
account.142c0f42f9a74050bd37aab8e71db189,MakBlackWave,962,6086,18,592,0.030405406,251,1209,2.1062717,36.805744,10,4
account.7a56b207f266465eb32b4627bbf30d6c,WLVSBomVinho,963,6086,45,615,0.07317073,173,893,1.5666667,21.964228,10,4
account.7f505f4e5ef4499da10f404c5c3dfc38,Sxtb_ysh,964,6086,4,688,0.0058139535,58,314,0.45906433,26.37064,10,4
account.2cea75580b994c68bbdea9036f49fec7,Moneny01,965,6086,9,739,0.012178619,142,834,1.1409029,38.887688,10,4
account.1c39973c9cc345a7aa54a268cfe5e665,WS_HuaGe,966,6086,26,840,0.030952381,293,2061,2.531941,49.55357,10,4
account.a9a122f076734e659fce4e427ba1e641,sega_86,967,6086,15,558,0.02688172,210,975,1.7955801,32.035843,10,4
account.17cb77e294e34d6b82e2298f6436420c,17_SenSen,968,6086,56,613,0.091354,393,2023,3.6319568,32.508972,10,4
account.420b89d036734483bce1562f0ee24618,Sinper-_-Jery,969,6086,20,1207,0.016570007,119,1096,0.92333615,35.871582,10,4
account.47d0cbdc948e49499e49e44419231846,wangfei151,970,6086,18,520,0.034615386,125,462,0.9203187,22.601923,10,4
account.076261b0717848858c206647773eb8c1,parkwooya,971,6086,22,726,0.030303031,311,1966,2.7926137,43.43526,10,4
account.d504fc7a28b945a8a4b04bc8def58938,mypgsjc,972,6086,10,1165,0.008583691,139,1130,0.978355,29.85837,10,4
account.eb24c6ee124b46fcb57cafb98ee4a340,Aiaidashi,973,6086,27,504,0.05357143,280,1230,2.5786164,30.823412,10,4
account.29733c472d344a0d90b88d3e94e06eb7,Bixin_73664201,974,6086,40,539,0.0742115,387,1808,3.616,38.02041,10,4
account.cecd5dc7512b42cdabd04d2b129e695a,Serghinio7,975,6085,31,478,0.06485356,338,1441,3.2237136,30.606695,10,4
account.3d6b599309fa4040bfa5864f5f7ae5b5,Syq_2012,976,6085,16,1394,0.011477762,149,1600,1.161103,40.974174,10,4
account.6eb4812ff46c452586241330db7b565b,Sunlight_TuDou,977,6085,31,835,0.037125748,242,1803,2.2397516,31.697006,10,4
account.1df210a367104adb95c733bbeef9a829,Selah,978,6085,91,417,0.21822542,284,1062,3.2477064,16.719425,10,4
account.bb49b1a50844446981e1887689499fbe,gbsqj-xx,979,6085,31,564,0.05496454,229,1068,2.0037522,31.368793,10,4
account.62eca502c3c14a64942056176fd2a3ec,shizgara74,980,6084,3,656,0.0045731706,121,572,0.87595713,28.967987,10,4
account.fbb5db641b1b4eec81ff9e45948c4751,SMS-ka,981,6084,52,1011,0.051434223,362,3257,3.3962462,54.95648,10,4
account.47cb4d45d6694bfcbae7aa676a7a1cb2,YURSTARS-YouTube,982,6084,27,713,0.037868164,220,1289,1.8790088,40.385693,10,4
account.d121d4b3bf6e48608a8b7d6c4f4ee8f6,Ich1988,983,6084,30,500,0.06,265,1082,2.3021276,30.252,10,4
account.aff2094f25894c919f6762c46d35dacc,BlackMangSA,984,6084,48,904,0.053097345,317,2571,3.0035048,34.561947,10,4
account.28969a992cd145748ca2ba84eb70b084,Mrk_AWM,985,6084,33,495,0.06666667,287,1082,2.3419914,31.838385,10,4
account.49c424de399d4883adaf41f2b5d24563,DaBoKill9527,986,6084,41,548,0.074817516,373,1564,3.0848126,37.54927,10,4
account.f8e1ed870e254043a9ee951cde9f4c8f,davidpu111,987,6084,14,779,0.017971758,174,1016,1.3281046,44.07317,10,4
account.6fafd8c5f80a49f0a95605d5adf52cce,qiangge3203,988,6084,9,1207,0.007456504,111,1085,0.9056761,56.387737,10,4
account.28151c15899145d4a1aecbab2603a502,AmakChan,989,6084,13,1285,0.010116732,141,1453,1.1422956,39.02101,10,4
account.787200bff102463bab8a420dd032743a,Fireworks-boy,990,6084,13,940,0.013829787,196,1441,1.5528017,51.05638,10,4
account.ec852903e9b94842ae3f77d41ceef42e,lichaochao6666,991,6084,5,1001,0.004995005,150,1128,1.1313941,51.417583,10,4
account.a9807ce69b54452795e7ae79f1990863,SHINeeBI,992,6084,35,1181,0.029635902,369,3904,3.4066317,53.003387,10,4
account.399185293ce5483fb334c1aa8c46e48f,yzl1974,993,6084,6,713,0.008415148,158,751,1.0622348,34.80645,10,4
account.84ac2b77b00947f58fe5abd7d951754a,kumpel123,994,6083,5,1130,0.0044247787,103,869,0.7724444,46.030975,10,4
account.39e0f59019be46b494e84a490de4a77f,juchao9,995,6083,1,1256,0.00079617836,153,1469,1.1705179,55.330414,10,4
account.98b666ac34174ca7a5707fc5f7f51fcb,buGzillla,996,6083,31,490,0.06326531,258,1056,2.3006537,26.383673,10,4
account.ed3913abb7874c3f8769d140833f7ccb,omega_dex,997,6083,62,519,0.1194605,316,1465,3.1917212,32.660885,10,4
account.52ab3f380f1c4103a31f03ebbf4e739c,BlowInIE,998,6083,4,945,0.0042328043,95,687,0.7300744,38.897354,10,4
account.4babd5802d59469ea175117e3c5d01b8,Xin_tairuan,999,6083,23,1233,0.01865369,134,1307,1.0801653,35.09327,10,4
account.87b8286ef83e492e80b30dfb74358e0f,Velens,1000,6082,13,856,0.015186916,137,900,1.0676156,40.695095,10,4
